,auction_id,experiment,date,hour,device_make,platform_os,browser,yes,no
46,01905bae-fc59-475e-b2b4-09b78163c961,exposed,2020-07-05,6,I3312,6,Chrome Mobile WebView,0,1
47,0190d842-f847-4611-8165-94b8fbe2626f,exposed,2020-07-05,17,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
48,01985992-d70b-4258-a3a1-60ac5e17bce6,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
49,01a44b3b-3b0e-4c8a-b352-a36d430d8c68,exposed,2020-07-09,23,Generic Smartphone,6,Chrome Mobile WebView,0,0
50,01a99d60-ad4b-4db4-b0bd-938f84411924,exposed,2020-07-09,14,FIG-LX1,6,Chrome Mobile WebView,0,0
52,01bc6381-2992-4d94-a817-938d1e31c901,exposed,2020-07-10,13,Generic Smartphone,6,Chrome Mobile,0,0
53,01cf572b-b372-40b8-8752-fef9198251a0,exposed,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0,0
54,01d39c2a-ac0c-444f-a01c-f3fa449e8c72,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile WebView,0,0
55,01d436ba-58d1-4177-94e0-692dc972c0da,exposed,2020-07-09,12,Samsung SM-G920F,6,Chrome Mobile WebView,0,0
56,01d44c23-d255-4ff4-ae23-752834801bc8,exposed,2020-07-03,14,Generic Smartphone,6,Chrome Mobile,0,1
57,01dbf4a8-a2e0-4c1d-8143-94b14f4daa9f,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
58,01e7823e-af44-4659-8b5a-6eae5b160715,exposed,2020-07-08,4,Generic Smartphone,6,Chrome Mobile,0,0
59,0200ce8c-9172-46d2-be7c-5c69735ed1dd,exposed,2020-07-03,1,Generic Smartphone,6,Chrome Mobile,0,0
60,020a74a5-db80-42ab-97d3-319f79d865d8,exposed,2020-07-07,13,Generic Smartphone,6,Chrome Mobile,0,0
61,022d1ff4-292c-4d7c-9ad0-d969d368c649,control,2020-07-06,10,Generic Smartphone,6,Chrome Mobile,0,0
62,023458f7-122d-475f-9525-1b9a3cc7a033,control,2020-07-03,15,MRD-LX1,6,Facebook,0,1
63,023735a1-e2cc-4c97-af66-0d81b761130f,exposed,2020-07-05,12,Generic Smartphone,6,Chrome Mobile,0,0
64,023be799-fee7-4ad7-b147-031c31ca6f2c,control,2020-07-07,9,Samsung SM-G930F,6,Samsung Internet,0,0
65,023ec7b5-cb8f-49a5-995f-e0d7c2f702e5,exposed,2020-07-09,13,Samsung SM-G935F,6,Facebook,1,0
66,02473106-2e61-4f78-86f1-0838363e0e88,exposed,2020-07-09,11,Samsung SM-A202F,6,Chrome Mobile WebView,0,0
67,024780cc-e752-4daa-a88e-6332d32fa390,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
68,024a1c60-77af-4abd-a207-f488b517696f,exposed,2020-07-08,7,I3312,6,Chrome Mobile WebView,0,0
69,0257755a-dd92-4a81-91d3-ef6b2cd5bb5a,exposed,2020-07-08,21,Samsung SM-N950F,6,Samsung Internet,0,0
70,0260a2ed-334f-465c-9dbe-463f2c7224bc,control,2020-07-07,21,Generic Smartphone,6,Chrome Mobile,0,0
71,0261b7ec-104e-45c6-9045-ffb8cefedc26,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
72,0270043e-970a-408a-8dff-5673c114c03c,control,2020-07-03,15,Samsung SM-G950F,6,Facebook,0,0
74,02792c2e-3523-4803-8b6e-29b24e7252f1,control,2020-07-10,7,Generic Smartphone,6,Chrome Mobile,0,0
75,028651a5-1fb2-4225-90c6-0f60cc21748f,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
76,028e30f3-ffb0-45a3-bad5-eb5f61a35fdb,control,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0,0
77,029792f9-8621-48c6-8c25-b1555349c729,control,2020-07-06,8,Generic Smartphone,6,Chrome Mobile,0,0
78,029ec4ac-f272-4db3-8e8c-7322918863c0,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
79,02a6373b-460f-4343-a829-23b8192b8c52,exposed,2020-07-08,6,Generic Smartphone,6,Chrome Mobile,0,0
80,02a9eba3-58b0-4759-b3ae-68a19cb2b59e,exposed,2020-07-09,20,Moto $2,6,Chrome Mobile WebView,0,1
81,02ad9a1b-457b-42d9-8b6b-3c9014730226,exposed,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,0,0
82,02bb49a3-8ffd-4ff0-9628-ba232dceb3a3,exposed,2020-07-10,6,Samsung SM-G970F,6,Chrome Mobile WebView,0,0
83,02cf01ad-ea3c-4f8c-9b29-f058adc06ed9,exposed,2020-07-08,1,Generic Smartphone,6,Chrome Mobile,0,0
84,02da7207-beaa-4aed-9349-328d3df976c9,control,2020-07-05,21,Samsung GT-I9505,6,Chrome Mobile,0,0
85,02dcc8eb-8932-441f-a0ae-15d63a481b6b,control,2020-07-05,0,Generic Smartphone,6,Chrome Mobile,0,0
86,02ece216-d48e-4c95-af29-7332e463b70c,exposed,2020-07-09,4,Samsung SM-G930F,6,Chrome Mobile WebView,0,0
87,02ee7e7e-1e75-4746-88d2-70bf9ba3a17d,exposed,2020-07-06,9,Samsung SM-G981B,6,Samsung Internet,0,0
88,02ef2207-6a54-4776-90fc-07c111eb8fd0,control,2020-07-07,8,Generic Smartphone,6,Chrome Mobile,0,0
89,02efdb70-8596-4f3f-b0b2-b91e194f61f7,exposed,2020-07-05,6,Generic Smartphone,6,Chrome Mobile,1,0
90,02f699ee-5e3a-41c6-867d-e544adb9e30f,exposed,2020-07-08,16,Generic Smartphone,6,Chrome Mobile,0,0
92,02ffeb7f-3639-493b-978a-6e1537de18c8,control,2020-07-09,3,Generic Smartphone,6,Chrome Mobile,0,0
93,030712e7-f4e2-4f47-a38b-0e76760aacb4,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
94,0307eaca-996d-48cd-8843-f98ed539fcad,control,2020-07-06,6,Pixel 3a,6,Facebook,0,0
95,030f8197-4daa-4584-a43a-a5805d6947e4,exposed,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,0,1
96,0315f5f3-d286-4d23-abbc-1c7b8401991f,control,2020-07-07,22,Generic Smartphone,6,Chrome Mobile,0,0
97,0320f9a0-7e0a-4c0d-a553-66c75d71a2ea,exposed,2020-07-08,19,Generic Smartphone,6,Chrome Mobile,0,0
98,03244a64-9192-40fc-9bd7-7edd1bd9643a,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
99,0332792f-0de9-4902-9d08-06033c3d8371,control,2020-07-06,2,Samsung SM-J600FN,6,Chrome Mobile WebView,0,1
100,0332a7f7-0336-4d48-96ad-75da00d916c0,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,1,0
101,0336ce2b-c5cb-454a-b74f-450232223742,control,2020-07-03,15,Samsung SM-A105FN,6,Samsung Internet,0,1
102,034463b0-10f3-41ac-bca7-a235ea2858bc,exposed,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,0,0
104,034abdd0-ef83-4614-8aa7-740d16dcb310,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,0,0
105,0355a92e-7e12-432d-b78c-44ba016eee37,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
106,035ab30b-7c1a-4e3d-adf1-c12a5deb6057,control,2020-07-08,22,OnePlus ONEPLUS A3003,6,Chrome Mobile WebView,0,0
107,035b36c3-7810-49c7-b251-0e7c8bcc7272,control,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,0
108,035f97e4-0ae1-406a-b79d-2e915aa00de8,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
109,0365730f-39d3-461d-b7a5-dadffa0b2884,exposed,2020-07-09,8,Generic Smartphone,6,Chrome Mobile,0,1
110,036b5356-51a0-44f1-8f1f-80e72d7d542c,exposed,2020-07-09,20,Samsung SM-G970F,6,Samsung Internet,0,0
111,036da9b7-5708-42d9-b126-1afa569c047e,exposed,2020-07-05,5,POT-LX1,6,Chrome Mobile WebView,0,0
112,036e5f04-8fa1-4cce-864e-e68043683cb0,exposed,2020-07-03,6,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
113,0372d915-df8f-4442-bcdb-b3ac8fde1455,control,2020-07-04,6,Samsung SM-A202F,6,Facebook,0,0
114,0372edbb-03dc-4791-86da-d232a2b63b3b,control,2020-07-10,0,Samsung SM-G960F,6,Facebook,0,0
115,03753c68-2183-4476-b4fd-202253b55960,exposed,2020-07-09,2,Samsung SM-G950F,6,Facebook,0,0
116,037d1b6c-fe15-4c5f-aab9-7c6035f59489,control,2020-07-03,15,Samsung SM-G975F,6,Facebook,0,0
117,0382a970-3ebd-445e-9256-f440dd950a23,control,2020-07-10,7,Samsung SM-G973F,6,Facebook,0,0
118,03948b84-b5b1-4f26-81fc-e953218aef1a,control,2020-07-09,20,Samsung SM-G930F,6,Facebook,1,0
119,03a07821-e006-4bde-aed4-17ef65aa44c4,control,2020-07-03,15,Samsung SM-G950F,6,Facebook,0,0
120,03b85713-9400-4d3e-9992-9e85bc7ccff8,exposed,2020-07-10,11,Generic Smartphone,6,Chrome Mobile,0,0
121,03b97fa8-9f0a-4060-947f-7afc18755b84,exposed,2020-07-03,9,Samsung SM-J330FN,6,Chrome Mobile WebView,0,0
122,03bb1693-494e-4a96-b5e1-95909c9a1e32,control,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,0,0
123,03cbe91a-4bb0-4e46-aa08-468fa5552004,control,2020-07-08,16,Samsung SM-G770F,6,Samsung Internet,0,0
124,03cf0bc4-48eb-4b96-8160-16665c87dbae,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
125,03d00ff8-bd48-4f93-9a4c-8cbbade8a58b,exposed,2020-07-07,7,Generic Smartphone,6,Chrome Mobile,0,0
126,03d3277c-c48e-469e-bd5c-a1c77466b029,control,2020-07-05,5,Generic Smartphone,6,Chrome Mobile,0,0
127,03e355e8-5eb8-4263-9a8a-46a0c423ebf4,control,2020-07-05,16,H3311,6,Chrome Mobile WebView,0,0
128,03ee1780-1fa3-4bec-926c-d543a81a6653,exposed,2020-07-04,11,Samsung SM-G981B,6,Chrome Mobile WebView,1,0
129,03ee887e-96aa-4ea4-a3cd-026c76cb21f5,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
130,03f78bc7-3dbe-4fad-9243-c6a9d2f80cdc,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
131,03fbbed7-04b4-4b65-99e7-8ea17722f229,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
132,040a6083-4bc7-4381-ac92-04854ee82f56,exposed,2020-07-06,3,Generic Smartphone,6,Chrome Mobile,0,0
133,041450ac-d6e0-441e-910b-f31611a5bf7b,exposed,2020-07-05,8,MAR-LX1A,6,Chrome Mobile WebView,0,0
134,0427454d-1ce6-46e7-81a5-a2b1f8baad01,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
135,0429d8ae-374e-46e8-83a6-eba1c36aefb1,exposed,2020-07-05,19,Generic Smartphone,6,Chrome Mobile,0,1
136,0436ac76-0f75-4930-8a29-7c3b5c9ac560,control,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,0,0
137,043afd11-d9d5-429a-8f8f-c111d81282ee,exposed,2020-07-08,5,Generic Smartphone,6,Chrome Mobile,0,0
138,04438131-f361-4f90-b1cc-0073d378283d,exposed,2020-07-08,10,Generic Smartphone,6,Chrome Mobile,0,0
139,0449a50f-70d2-40db-b27f-e7c0cfa66c4f,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
140,044e30ea-df74-4cfa-93bc-d1c9a6276255,control,2020-07-03,15,MAR-LX1A,6,Facebook,0,0
141,04535742-676d-4e9f-a62c-aa5bda8c46a1,exposed,2020-07-10,5,Generic Smartphone,6,Chrome Mobile,0,1
142,045c0094-e385-431b-965c-3b515e7bcaeb,exposed,2020-07-05,15,Generic Smartphone,6,Chrome Mobile,0,0
143,045cbf34-f0fe-4ae5-8064-05d1aad4f593,exposed,2020-07-05,13,Generic Smartphone,6,Chrome Mobile,0,0
144,046644f4-b30c-48f9-b069-f804a97b77d9,exposed,2020-07-05,2,Generic Smartphone,6,Chrome Mobile WebView,1,0
146,046c7f1d-7763-4e72-925b-8ff0540cc283,exposed,2020-07-07,19,Generic Smartphone,6,Chrome Mobile,0,0
147,046eeb00-f17c-4f31-9497-21c3488adeec,control,2020-07-08,16,Samsung SM-G935F,6,Facebook,0,0
148,04849a01-f553-40f1-bcc1-d20f3bbfd016,exposed,2020-07-04,5,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
149,0486db48-6468-4bf8-afa5-00153927248a,exposed,2020-07-07,22,Generic Smartphone,6,Chrome Mobile WebView,0,0
150,04875052-2312-4a96-9ce4-ab1815b2c451,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
151,0488c710-feb7-4c88-b946-1e80c63a171f,exposed,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,0,0
152,04a37daf-e49c-4e05-a732-fdcdbedfe99c,exposed,2020-07-07,19,Generic Smartphone,6,Chrome Mobile,0,0
153,04a41e98-7185-4aef-b884-c4c14f728d1e,exposed,2020-07-10,1,HTC One $2,6,Chrome Mobile,0,0
154,04a522d7-c8fc-4d75-b16d-8d31c65390b2,control,2020-07-05,14,Generic Smartphone,6,Chrome Mobile,0,0
156,04abe5cf-20a8-4a44-9377-955c6e706231,exposed,2020-07-03,11,Generic Smartphone,6,Chrome Mobile,0,0
157,04b69bd8-4849-4489-adcf-08b96a265c40,control,2020-07-07,15,Generic Smartphone,6,Chrome Mobile,1,0
158,04b6b6e4-dff1-4138-b01b-c544e9bbbeb7,control,2020-07-08,17,Samsung SM-G950F,6,Samsung Internet,0,0
159,04ba7cb0-1260-461c-b94e-d9977e98fb84,control,2020-07-08,9,Samsung SM-G965F,6,Facebook,0,0
160,04bb7622-8ac6-4cf8-bbab-31cd31698fe7,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,0,1
161,04c0ae03-d7fc-4798-8103-467ee62fdab5,control,2020-07-05,8,Generic Smartphone,6,Chrome Mobile,0,0
162,04ce7ee1-a4be-4c40-82a9-23f255aa3395,control,2020-07-03,15,ELE-L09,6,Facebook,1,0
163,04d14dcc-5e4b-468c-93ce-dcf431aa9aa9,control,2020-07-06,4,Generic Smartphone,6,Chrome Mobile,0,0
164,04d38143-f0f2-493d-ba55-ae65b7b44e1d,control,2020-07-09,11,LG-$2,6,Chrome Mobile,0,0
166,04e16c15-9b40-4525-8e86-8ef8d2fc0b1f,exposed,2020-07-05,2,Samsung SM-J415FN,6,Samsung Internet,0,0
167,050af216-a2be-4e6a-93e1-fe0726793426,exposed,2020-07-09,5,Generic Smartphone,6,Chrome Mobile,0,0
168,051239f7-1c93-4bc4-a67a-d313fdcf16f0,control,2020-07-10,9,Samsung SM-G900F,6,Chrome Mobile WebView,0,0
169,051536fa-9b6d-4c3d-beac-c922bba8171b,control,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,0,0
170,0517c65a-7104-46b6-b74c-8699902492aa,exposed,2020-07-09,1,Lenovo A1010a20,6,Chrome Mobile,0,0
171,0518a661-6a07-47e3-82dc-f1caf4680f6a,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
173,051fe8e4-fceb-42ca-99db-e265b53f0d91,exposed,2020-07-09,16,CLT-L09,6,Chrome Mobile WebView,0,0
174,0526af64-1055-481b-9505-85f98cd512e8,exposed,2020-07-09,11,Generic Smartphone,6,Chrome Mobile,0,0
175,052e7964-288f-46fa-b13f-e92d4f113831,exposed,2020-07-08,23,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
176,0532bd50-533c-420d-95ac-f55b45af9f86,control,2020-07-10,15,Generic Smartphone,6,Chrome Mobile,0,0
178,05399052-58e1-4678-b38f-a4648e0c477d,control,2020-07-03,15,HTC Desire $2,6,Chrome Mobile WebView,0,0
179,053ccc88-e993-4e18-92ee-94f262cbfde8,control,2020-07-10,8,Generic Smartphone,6,Chrome Mobile,0,0
180,053e02e8-1bb0-49a2-9ad0-ed95f9c81078,control,2020-07-10,17,Generic Smartphone,6,Chrome Mobile,0,0
181,05448950-efae-45e7-8633-3feacff3121a,control,2020-07-07,12,Generic Smartphone,6,Chrome Mobile,0,0
182,055617a7-0a9e-4e07-b768-fd6b6f9cc8d2,exposed,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0,0
183,05580d4a-c0d1-405b-a6be-dab1e3152f06,control,2020-07-08,20,Samsung SM-A705FN,6,Chrome Mobile WebView,0,0
184,055a5403-31ef-4201-956e-53ef38aa8060,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
185,055b355d-d8f4-49c7-b072-de1550a39a1e,exposed,2020-07-04,22,Generic Smartphone,6,Chrome Mobile,0,0
186,055dcbee-57ab-42d0-ac6c-5cb2b2cf1704,exposed,2020-07-03,7,Samsung SM-G980F,6,Samsung Internet,0,0
187,055f5f5b-07ff-4401-bb8d-7b44aa5eed44,exposed,2020-07-08,5,Generic Smartphone,6,Chrome Mobile,0,0
189,05791ca6-81f8-4738-b688-070995b8207a,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
190,058393be-eef8-4f00-869b-7d0bc2dd4287,exposed,2020-07-05,2,Generic Smartphone,6,Chrome Mobile,0,0
191,058512b2-f3ad-4a21-a879-93fe194995fb,control,2020-07-03,15,Samsung SM-G920F,6,Chrome Mobile WebView,0,0
192,0587d2d4-d47a-4872-ace2-a460eea468f3,exposed,2020-07-09,1,Generic Smartphone,6,Chrome Mobile,1,0
193,0588c59e-a249-4ae1-8f20-7bc3a822434c,exposed,2020-07-10,9,Generic Smartphone,6,Chrome Mobile,0,0
194,0592b18c-a235-462b-82b1-4ce9ecfd1786,exposed,2020-07-04,8,Samsung SM-A105FN,6,Chrome Mobile WebView,0,0
195,05a03d5d-abd2-42f9-beff-f967a5f0654a,exposed,2020-07-06,10,Generic Smartphone,6,Chrome Mobile,0,0
196,05a20678-ec3d-4014-8d0f-8915d12e812e,control,2020-07-09,12,Samsung SM-G965F,6,Facebook,0,0
197,05d9bf1b-6b23-4fe5-abf0-73bf4ce06386,exposed,2020-07-03,14,Generic Smartphone,6,Chrome Mobile,0,0
198,05ded822-6ad1-4d43-80b0-92e74d798185,exposed,2020-07-03,8,Generic Smartphone,6,Chrome Mobile,0,0
199,05f600f6-9edf-49fc-808c-9a572fb3fcb1,exposed,2020-07-03,3,Generic Smartphone,6,Chrome Mobile,0,0
200,05fc3d55-6844-495a-bbc9-11594fb5efcc,control,2020-07-03,15,Samsung SM-G955F,6,Facebook,0,0
201,05ff30c6-4265-4a1d-80de-537563f7470d,control,2020-07-08,18,Generic Smartphone,6,Chrome Mobile,1,0
202,060536b0-3fe0-4af3-a808-0a4008e91876,exposed,2020-07-05,14,Generic Smartphone,6,Chrome Mobile WebView,0,0
203,06091e83-e0d9-416f-808a-ccc488378287,exposed,2020-07-09,1,Generic Smartphone,6,Chrome Mobile,0,0
204,060ddc5e-ad17-4e06-b491-1876df7a1144,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
205,061213c3-4d2d-490b-a6d6-74527edc21df,control,2020-07-09,16,Samsung SM-G960F,6,Facebook,0,0
206,061f5574-b2ad-4ed4-b533-d0c94f77ddac,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
207,06356a8f-c4b7-4c57-944f-803221393644,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
208,06356d8c-0e8c-450a-8c54-8fc69993b9b7,exposed,2020-07-10,2,Generic Smartphone,6,Chrome Mobile,0,0
209,065bde0d-7ba8-41e8-85a8-31775073c620,control,2020-07-09,10,Generic Smartphone,6,Chrome Mobile,0,0
210,066af112-a448-453e-8603-986f7e6e6c89,control,2020-07-03,15,Samsung SM-A202F,6,Facebook,0,0
211,066ff50c-0ffc-4d1d-9698-57e26030fb9b,control,2020-07-04,9,Samsung SM-N960F,6,Samsung Internet,0,0
212,0676f0f7-862e-4b30-8a51-5ed9b3d730d2,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
213,067f44e7-7b76-4527-8b0f-215f7018c158,exposed,2020-07-04,5,Nexus 5,6,Chrome Mobile WebView,0,0
214,0683d5f0-279e-41dd-9629-2cda82dc3426,control,2020-07-09,8,Samsung SM-G930F,6,Facebook,0,0
215,0690fc5f-02e1-49f2-9da9-a73e4902bbbb,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
216,069b0257-f2d3-4347-85f0-f462873a9259,exposed,2020-07-05,12,Samsung SM-J260F,6,Samsung Internet,0,0
217,069dddd0-bd7d-48c0-991e-ec772d48136a,control,2020-07-03,15,Samsung SM-J330FN,6,Samsung Internet,0,0
218,069e6925-5094-4eaf-a8cf-343ee66a2200,exposed,2020-07-09,13,Samsung SM-G960F,6,Samsung Internet,0,0
219,06ac02e4-50b8-4129-a4d5-479b26941202,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
220,06ad16bb-92cd-4116-9b45-5210e68afceb,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
221,06aed4b4-c109-4cc8-9489-c6d61b51b7e4,control,2020-07-06,0,Samsung SM-G960F,6,Samsung Internet,0,0
222,06b604fa-5dff-4034-9355-76bad949e3d3,control,2020-07-03,15,Samsung SM-G970F,6,Facebook,0,0
223,06bb6061-5e5e-4cd7-a03b-8df818a990b5,exposed,2020-07-05,0,Generic Smartphone,6,Chrome Mobile WebView,0,1
224,06bf0a6f-7302-487c-a8e9-599f4b6696d9,exposed,2020-07-08,15,Generic Smartphone,6,Chrome Mobile,0,0
225,06cf1733-06d1-4c7c-a429-2312177166a2,exposed,2020-07-09,20,Samsung SM-G950F,6,Samsung Internet,0,1
226,06d7ece2-7d93-43ed-a9d3-e563fb8067e9,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,1,0
227,06da5999-fc59-4da5-9e26-326c23469343,exposed,2020-07-09,6,Pixel 3a,6,Chrome Mobile WebView,0,0
